Controlled Vocabulary — Streetrise Resources,,,
"All values lowercase. Multi-value fields use comma-separated tokens (e.g., facility_features=showers,wifi). Use category for the primary service type, subcategory for finer detail within it, and the attribute columns for population, provider, features, and tags.",,,
,,,
Column Name,Allowed Values,Description,Example (Structured → Human-Readable)
category (Primary Resource Type),see rows below,The primary service the resource provides. Single value. Use subcategory for finer detail.,category=shelter → Provides overnight shelter
,shelter,"Overnight housing: emergency, transitional, family, DV, etc.",category=shelter → Provides overnight shelter
,food,"Pantry, hot meals, mobile distribution, groceries.",category=food → Provides food assistance
,hygiene,"Showers, laundry, restrooms, clothing, hygiene supplies as a primary offering.",category=hygiene → Offers hygiene services
,medical,"Primary care, dental, vision, pharmacy, clinics, mobile health.",category=medical → Provides medical care
,mental_health,"Counseling, psychiatry, peer support, group therapy.",category=mental_health → Offers mental-health services
,substance_abuse,"Detox, rehab, MAT, harm reduction, recovery meetings.",category=substance_abuse → Substance-use treatment & recovery
,legal,"Civil legal aid, ID help, expungement, tenant rights, immigration.",category=legal → Provides legal assistance
,employment,"Job training, career centers, resume help, day labor.",category=employment → Employment & job services
,education,"GED, adult ed, literacy, tutoring, vocational classes.",category=education → Educational programs
,transportation,"Bus passes, gas vouchers, medical transport, bike programs.",category=transportation → Transportation assistance
,financial_assistance,"Cash aid, emergency funds, bill payments not covered by housing_assistance.",category=financial_assistance → Direct financial aid
,housing_assistance,"Rent/utility help, housing navigation, eviction prevention (not the shelter itself).",category=housing_assistance → Housing assistance
,crisis_services,"Hotlines, walk-in crisis, mobile crisis, disaster response.",category=crisis_services → Crisis response services
,community_center,"Multi-purpose drop-in space with mixed programs, classes, or resources.",category=community_center → Community center
,day_use_space,"Day-only public/communal spaces — parks, libraries, drop-in centers, cooling/warming centers, safe rest areas. No overnight.",category=day_use_space → Day-use safe space
subcategory — shelter,see rows below,Use when category=shelter.,subcategory=emergency → Emergency overnight shelter
,emergency,"Short-stay crisis shelter, typically nightly intake.",subcategory=emergency → Emergency overnight shelter
,transitional,"Time-limited housing (months) paired with case management.",subcategory=transitional → Transitional housing
,rapid_rehousing,Short-term rental assistance + housing placement.,subcategory=rapid_rehousing → Rapid-rehousing program
,permanent_supportive,Long-term subsidized housing with services.,subcategory=permanent_supportive → Permanent supportive housing
,sober_living,Recovery residence requiring sobriety.,subcategory=sober_living → Sober-living residence
,cold_weather,Seasonal shelter activated during cold weather.,subcategory=cold_weather → Cold-weather shelter
,safe_parking,Designated safe overnight lot for people living in vehicles.,subcategory=safe_parking → Safe-parking site
,hotel_voucher,Hotel/motel vouchers for short-term stays.,subcategory=hotel_voucher → Hotel-voucher program
,,,
subcategory — food,see rows below,Use when category=food.,subcategory=pantry → Food pantry
,pantry,Food pantry / groceries.,subcategory=pantry → Food pantry
,hot_meal,Prepared meals served onsite.,subcategory=hot_meal → Hot meal
,mobile_meal,Mobile food distribution / meal route.,subcategory=mobile_meal → Mobile meal distribution
,community_fridge,Free public/community refrigerator.,subcategory=community_fridge → Community fridge
,food_delivery,Delivered food assistance.,subcategory=food_delivery → Food delivery
,soup_kitchen,Meal service / soup kitchen.,subcategory=soup_kitchen → Soup kitchen
,groceries,General grocery assistance.,subcategory=groceries → Grocery support
,pet_food,Food for pets/companion animals.,subcategory=pet_food → Pet food support
,,,
subcategory — hygiene,see rows below,Use when category=hygiene.,subcategory=shower → Shower access
,shower,Shower access as the primary service.,subcategory=shower → Shower access
,laundry,Laundry access as the primary service.,subcategory=laundry → Laundry access
,restroom,Public restroom access.,subcategory=restroom → Restroom access
,clothing,Clothing closet / clothing distribution.,subcategory=clothing → Clothing assistance
,haircut,Haircut / grooming service.,subcategory=haircut → Haircut service
,hygiene_kits,Hygiene supply kits.,subcategory=hygiene_kits → Hygiene kits
,diapers,Diaper distribution.,subcategory=diapers → Diapers
,feminine_products,Menstrual/feminine hygiene products.,subcategory=feminine_products → Feminine products
,,,
subcategory — medical,see rows below,Use when category=medical.,subcategory=primary_care → Primary care
,primary_care,Primary healthcare.,subcategory=primary_care → Primary care
,urgent_care,Urgent non-emergency care.,subcategory=urgent_care → Urgent care
,dental,Dental care.,subcategory=dental → Dental care
,vision,Vision care / eye exams / glasses.,subcategory=vision → Vision care
,pharmacy,Prescription/pharmacy assistance.,subcategory=pharmacy → Pharmacy support
,vaccination,Vaccines / immunization clinics.,subcategory=vaccination → Vaccination
,hiv_testing,HIV testing/prevention.,subcategory=hiv_testing → HIV testing
,mobile_clinic,Mobile health clinic.,subcategory=mobile_clinic → Mobile clinic
,,,
subcategory — mental_health,see rows below,Use when category=mental_health.,subcategory=counseling → Counseling
,counseling,Therapy/counseling.,subcategory=counseling → Counseling
,psychiatry,Psychiatric care/medication management.,subcategory=psychiatry → Psychiatry
,crisis_support,Immediate mental-health crisis support.,subcategory=crisis_support → Crisis support
,suicide_prevention,Suicide prevention hotline/support.,subcategory=suicide_prevention → Suicide prevention
,peer_support,Peer-led support.,subcategory=peer_support → Peer support
,group_therapy,Group therapy/support groups.,subcategory=group_therapy → Group therapy
,,,
subcategory — substance_abuse,see rows below,Use when category=substance_abuse.,subcategory=detox → Detox
,detox,Withdrawal management / detox.,subcategory=detox → Detox
,rehab_inpatient,Residential/inpatient treatment.,subcategory=rehab_inpatient → Inpatient rehab
,rehab_outpatient,Outpatient treatment.,subcategory=rehab_outpatient → Outpatient rehab
,harm_reduction,"Narcan, safer-use supplies, overdose prevention.",subcategory=harm_reduction → Harm reduction
,needle_exchange,Syringe exchange / safer-use supplies.,subcategory=needle_exchange → Needle exchange
,recovery_meeting,AA/NA/SMART/etc. recovery meetings.,subcategory=recovery_meeting → Recovery meeting
,medication_assisted_treatment,MAT / buprenorphine / methadone support.,subcategory=medication_assisted_treatment → MAT
,,,
subcategory — employment,see rows below,Use when category=employment.,subcategory=job_training → Job training
,job_training,Workforce training.,subcategory=job_training → Job training
,resume_help,Resume/application support.,subcategory=resume_help → Resume help
,day_labor,Day labor connection.,subcategory=day_labor → Day labor
,work_exchange,Work-for-stay or work-for-support opportunity.,subcategory=work_exchange → Work exchange
,career_center,Career center services.,subcategory=career_center → Career center
,interview_clothing,Interview/work clothing.,subcategory=interview_clothing → Interview clothing
,felon_friendly,Friendly to people with records.,subcategory=felon_friendly → Felon-friendly employment
,,,
subcategory — transportation,see rows below,Use when category=transportation.,subcategory=bus_pass → Bus pass
,bus_pass,Bus pass/transit fare assistance.,subcategory=bus_pass → Bus pass
,gas_voucher,Gas/fuel assistance.,subcategory=gas_voucher → Gas voucher
,bike_program,Bike donation/repair/transit support.,subcategory=bike_program → Bike program
,medical_transport,Medical appointment transport.,subcategory=medical_transport → Medical transport
,ride_share,Rideshare/taxi voucher.,subcategory=ride_share → Ride-share support
,,,
subcategory — housing_assistance,see rows below,Use when category=housing_assistance.,subcategory=rent_assistance → Rent assistance
,rent_assistance,Rent payment assistance.,subcategory=rent_assistance → Rent assistance
,utility_assistance,Utility payment assistance.,subcategory=utility_assistance → Utility assistance
,eviction_prevention,Eviction prevention/legal-financial aid.,subcategory=eviction_prevention → Eviction prevention
,housing_navigation,Help finding/applying for housing.,subcategory=housing_navigation → Housing navigation
,housing_application,Help completing housing applications.,subcategory=housing_application → Housing application help
,section_8,Housing Choice Voucher / Section 8 support.,subcategory=section_8 → Section 8 support
,,,
subcategory — legal,see rows below,Use when category=legal.,subcategory=id_assistance → ID assistance
,id_assistance,"Birth certificate, state ID, Social Security card help.",subcategory=id_assistance → ID assistance
,expungement,Expungement/record sealing.,subcategory=expungement → Expungement help
,immigration,Immigration legal aid.,subcategory=immigration → Immigration legal help
,tenant_rights,Tenant/housing legal aid.,subcategory=tenant_rights → Tenant rights
,benefits_assistance,Help applying/appealing benefits.,subcategory=benefits_assistance → Benefits help
